edge_id,pipeline_id,pipeline_name,operator_code,pipeline_category,status,segment_order,from_node_id,from_node_name,to_node_id,to_node_name,from_node_class,to_node_class,directed,direction_note,sequence_is_traversal,traversal_note,geometry_available,length_km,length_method,edge_status,gap_reason,edge_source,provenance_category
E001,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,GAIL,Common Carrier,Operational,1,N023,Hazira,N055,Vijaipur,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,merged authorization (HVJ + GREP + DVPL/VDPL); the printed order of places is not a single traversal,FALSE,NA,NA,gap_to_ambiguous,no coordinate for Vijaipur,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E002,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,GAIL,Common Carrier,Operational,2,N055,Vijaipur,N026,Jagdishpur,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,merged authorization (HVJ + GREP + DVPL/VDPL); the printed order of places is not a single traversal,FALSE,NA,NA,gap_from_ambiguous,no coordinate for Vijaipur,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E003,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,GAIL,Common Carrier,Operational,3,N026,Jagdishpur,N014,Dahej,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",FALSE,merged authorization (HVJ + GREP + DVPL/VDPL); the printed order of places is not a single traversal,TRUE,991.064,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E004,17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,GAIL,Common Carrier,Operational,1,N014,Dahej,N055,Vijaipur,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_to_ambiguous,no coordinate for Vijaipur,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E005,17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,GAIL,Common Carrier,Operational,2,N055,Vijaipur,N013,Dadri,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_from_ambiguous,no coordinate for Vijaipur,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E006,17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),PIL,Common Carrier,Operational,1,N031,Kakinada,N025,Hyderabad,Interconnection,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,405.047,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E007,17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),PIL,Common Carrier,Operational,2,N025,Hyderabad,N054,Uran,IntermediateRoutePoint,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,606.782,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E008,17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),PIL,Common Carrier,Operational,3,N054,Uran,N001,Ahmedabad,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,460.671,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E009,17.05.NGPL,Dahej-Uran-Panvel-Dabhol,GAIL,Common Carrier,Operational,1,N014,Dahej,N054,Uran,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,315.821,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E010,17.05.NGPL,Dahej-Uran-Panvel-Dabhol,GAIL,Common Carrier,Operational,2,N054,Uran,N045,Panvel,Interconnection,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,21.772,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E011,17.05.NGPL,Dahej-Uran-Panvel-Dabhol,GAIL,Common Carrier,Operational,3,N045,Panvel,N012,Dabhol,IntermediateRoutePoint,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,155.03,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E012,17.10.NGPL,Dadri-Panipat,IOCL,Common Carrier,Operational,1,N013,Dadri,N043,Panipat,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,108.732,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E013,17.14.NGPL,Uran-Trombay,ONGC,Common Carrier,Operational,1,N054,Uran,N052,Trombay,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,14.109,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E014,18.02.NGPL,Hazira-Ankleshwar (HAPi),GGL,Common Carrier,Operational,1,N023,Hazira,N003,Ankleshwar,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,65.601,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E015,5.05.NGPL,Shahdol-Phulpur,RGPL,Common Carrier,Operational,1,N049,Shahdol,N047,Phulpur,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,260.485,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E016,17.18.NGPL,Dukli - Maharajganj,GAIL,Common Carrier,Operational,1,N016,Dukli,N035,Maharajganj,Terminal,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_to_unresolved,no coordinate for Maharajganj,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E017,17.19.NGPL,Uran-Taloja,DFPCL,Common Carrier,Operational,1,N054,Uran,N051,Taloja,Interconnection,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,28.424,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E018,17.09.NGPL,Chainsa-Jhajjar-Hissar,GAIL,Common Carrier,Operational,1,N011,Chainsa,N029,Jhajjar,Terminal,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_from_unresolved,no coordinate for Chainsa,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E019,17.09.NGPL,Chainsa-Jhajjar-Hissar,GAIL,Common Carrier,Operational,2,N029,Jhajjar,N024,Hissar,IntermediateRoutePoint,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,109.443,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E020,17.12.NGPL,Dadri-Bawana-Nangal,GAIL,Common Carrier,Operational,1,N013,Dadri,N006,Bawana,Interconnection,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,57.633,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E021,17.12.NGPL,Dadri-Bawana-Nangal,GAIL,Common Carrier,Operational,2,N006,Bawana,N041,Nangal,IntermediateRoutePoint,Terminal,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,294.202,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E022,5.01.NGPL,Mehsana-Bhatinda,GIGL,Common Carrier,Under Construction,1,N038,Mehsana,N007,Bhatinda,Terminal,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,774.907,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E023,5.02.NGPL,Bhatinda-Gurdaspur,GIGL,Common Carrier,Under Construction,1,N007,Bhatinda,N019,Gurdaspur,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,207.872,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E024,5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,GITL,Common Carrier,Under Construction,1,N036,Mallavaram,N009,Bhopal,Terminal,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,871.177,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E025,5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,GITL,Common Carrier,Under Construction,2,N009,Bhopal,N008,Bhilwara,IntermediateRoutePoint,IntermediateRoutePoint,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,363.749,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E026,5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,GITL,Common Carrier,Under Construction,3,N008,Bhilwara,N055,Vijaipur,IntermediateRoutePoint,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,FALSE,NA,NA,gap_to_ambiguous,no coordinate for Vijaipur,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
E027,17.16.NGPL,Dabhol-Bangalore,GAIL,Common Carrier,Under Construction,1,N012,Dabhol,N004,Bangalore,Interconnection,Interconnection,FALSE,"order as printed in the pipeline name; the register states no flow direction, and several of these lines reverse in operation",TRUE,,TRUE,696.9,"geodesic between two gazetteer settlement centroids, WGS 84 ellipsoid; NOT the routed length",drawable,,"pipeline name, PNGRB register 20251231_NGPL.pdf",A (topology) + B (length)
