file,column,provenance_category,unit,description
pipeline_master.csv,pipeline_id,A,text,"PL Unique ID exactly as printed in the register, e.g. 17.03.NGPL. Primary key."
pipeline_master.csv,pipeline_name,A,text,Pipeline name verbatim. For Common Carrier pipelines this is also the ONLY source of route points (README s4).
pipeline_master.csv,pipeline_category,A,text,"Common Carrier / Tie-in / Dedicated, from which register table the row came."
pipeline_master.csv,status,A,text,"Operational / Under Construction, from the register table."
pipeline_master.csv,authorization_regulation,A,text,Regulation under which authorized; Section 42 rows noted.
pipeline_master.csv,operator_code,A,text,Short operator code. Glossary in 01_build_pipeline_master.py.
pipeline_master.csv,operator_name,A,text,Authorized entity verbatim. Two rows inherit a merged PDF cell; see notes.
pipeline_master.csv,authorization_date,A,date,Date of authorization as printed. NA where the register leaves it blank.
pipeline_master.csv,authorized_length_km,A,km,Authorized length. Sums reproduce the register's page-1 subtotals.
pipeline_master.csv,operating_length_km,A,km,"Operating length. 17.18 is a genuine measured 0, annotated in notes; not a missing value."
pipeline_master.csv,under_construction_km,A,km,"Under-construction length, carried separately and never merged into the others."
pipeline_master.csv,capacity_mmscmd,A,MMSCMD,"Design capacity, parsed. NA where the register gives no single number."
pipeline_master.csv,capacity_verbatim,A,text,"Capacity cell exactly as printed, retained because several are ranges or footnoted."
pipeline_master.csv,target_completion,A,text,"Target completion for under-construction rows, verbatim."
pipeline_master.csv,states_covered_verbatim,A,text,States/UTs exactly as printed. NOT split and NOT counted here - use ngpl_paths.normalise_states().
pipeline_master.csv,pdf_table,A,text,Which of the register's 9 tables this row came from.
pipeline_master.csv,pdf_row,A,integer,"Row number within that table, for row-span verification."
pipeline_master.csv,source_document,A,text,"Source file name, 20251231_NGPL.pdf."
pipeline_master.csv,in_graph_scope,A,boolean,"TRUE for the 37 Common Carrier pipelines. Rule stated in README s3, not a judgement call."
pipeline_master.csv,notes,A,text,"Per-row caveats: merged cells, shared length cells, measured zeros."
pipeline_topology.csv,pipeline_id,A,text,Foreign key to pipeline_master.csv.
pipeline_topology.csv,pipeline_name,A,text,Copied from the master for readability.
pipeline_topology.csv,topology_class,A,text,"linear (route named) or areal (service area named). Listed explicitly, not regex-derived."
pipeline_topology.csv,n_waypoints_stated,A,count,Number of route points the pipeline's own name states. 0 for areal.
pipeline_topology.csv,in_graph_v1,A,boolean,TRUE for the 27 linear pipelines forming the v1 graph.
pipeline_topology.csv,waypoint_sequence,A,text,"Waypoints in printed order, ' -> ' separated."
pipeline_topology.csv,waypoint_source,A,text,Always the pipeline name; the register states route points nowhere else.
pipeline_topology.csv,topology_note,A,text,"Why a name was read the way it was, or why the pipeline is areal."
node_candidates.csv,pipeline_id,A,text,Foreign key to pipeline_master.csv.
node_candidates.csv,seq,A,integer,Position of this waypoint in the printed name. Gives segment ordering.
node_candidates.csv,node_name,A,text,Waypoint name as printed in the pipeline title.
node_candidates.csv,role,A,text,"origin / intermediate / terminus, derived from seq."
node_candidates.csv,node_type,A,text,Placeholder resolved in step 2b.
node_candidates.csv,state_ut,A,text,Placeholder resolved in step 2b.
node_candidates.csv,latitude,B,degrees,Empty here by design; this step produces no coordinates.
