location,used_by,status,action
Abu Road,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Agartala,"17.08.NGPL,42.01.NGPL",UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Agra,17.03.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Aizawl,42.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Ajmer,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Amritsar,5.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Anakapalle,17.06.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Asansol,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Assam Regional Hub,17.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Berhampur,5.12.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Bharuch,17.07.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Bhubaneswar,5.12.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Cauvery Basin,17.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Chennai,5.08.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Chiplun,17.05.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Coimbatore,17.15.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Cuddalore,17.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Cuttack,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Dhanbad,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Dhenkanal,5.12.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Guna,17.03.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Hassan,17.15.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Hisar,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Hubballi,17.16.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Imphal,42.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Itanagar,42.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Jaipur,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Jalgaon,5.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Kanpur,17.03.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Kohima,42.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Kota,"17.03.NGPL,5.03.NGPL",UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Madurai,5.08.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Moga,5.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Nagapattinam,17.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Nanded,5.03.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Nashik,5.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Navi Mumbai,17.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Nhava Sheva,17.14.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Palanpur,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Panaji,17.16.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Patna,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Puducherry,17.02.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Pune,17.04.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Raipur,5.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Rajahmundry,"17.04.NGPL,17.06.NGPL",UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Ratnagiri,17.16.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Rewari,5.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Salem,5.08.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Sambalpur,5.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Shillong,42.01.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Siliguri,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Solapur,17.04.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Sonipat,17.10.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Surat,17.05.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Thane,17.13.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Thrissur,17.15.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Tumakuru,17.16.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Udaipur,17.03.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Udaipur (Tripura),17.08.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Vadodara,17.07.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Varanasi,17.20.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Vellore,5.08.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
Visakhapatnam,17.06.NGPL,UNSOURCED -- not stated as a route point anywhere in the PDF,excluded from the graph; retained here for transparency
