pipeline_id,pipeline_name,topology_class,n_states_register,n_states_reached,states_register,states_reached,states_not_reached,n_nodes,n_nodes_unresolved,all_nodes_located,coverage_verdict,evidence_note,provenance_category
17.01.NGPL,Assam Regional Network,areal,1,NA,Assam,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.02.NGPL,Cauvery Basin Network,areal,2,NA,Puducherry; Tamil Nadu,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,linear,7,2,Delhi; Gujarat; Haryana; Madhya Pradesh; Rajasthan; Uttar Pradesh; Uttarakhand,Gujarat; Uttar Pradesh,Delhi; Haryana; Madhya Pradesh; Rajasthan; Uttarakhand,4,1,False,inconclusive_unresolved_node,"cannot be judged: 1 node(s) have no coordinate (Vijaipur), so a state they would account for is indistinguishable from a state the name omits. NOT counted as a finding.",C
17.11.NGPL,Dahej-Vijaipur (DVPL)-Vijaipur-Dadri (GREP) Upgradation DVPL 2 & VDPL,linear,0,2,,Gujarat; Uttar Pradesh,NONE,3,1,False,complete,every state the register records is entered by at least one named route point,C
17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),linear,5,4,Andhra Pradesh; Gujarat; Karnataka; Maharashtra; Telangana,Andhra Pradesh; Gujarat; Maharashtra; Telangana,Karnataka,4,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 1 state(s) none of them enters (Karnataka). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
17.05.NGPL,Dahej-Uran-Panvel-Dabhol,linear,3,2,Dadra and Nagar Haveli and Daman and Diu; Gujarat; Maharashtra,Gujarat; Maharashtra,Dadra and Nagar Haveli and Daman and Diu,4,0,True,incomplete_route_points_unnamed,"every named point is located, yet the register records 1 state(s) none of them enters (Dadra and Nagar Haveli and Daman and Diu). The register therefore states, using only itself, that this pipeline has route points its name does not give. Verifiable against the public PDF without code.",C
17.06.NGPL,KG Basin Network,areal,1,NA,Andhra Pradesh,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.07.NGPL,Gujarat Regional Network,areal,1,NA,Gujarat,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.08.NGPL,Agartala Regional Network,areal,1,NA,Tripura,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.10.NGPL,Dadri-Panipat,linear,2,2,Haryana; Uttar Pradesh,Haryana; Uttar Pradesh,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
17.13.NGPL,Mumbai Regional Network,areal,1,NA,Maharashtra,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
17.14.NGPL,Uran-Trombay,linear,1,1,Maharashtra,Maharashtra,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
18.01.NGPL,High Pressure Gujarat Gas Grid,areal,1,NA,Gujarat,NA,NA,0,0,NA,not_applicable_areal,"the register names a service area, not a route, so there are no named route points to compare against",C
18.02.NGPL,Hazira-Ankleshwar (HAPi),linear,1,1,Gujarat,Gujarat,NONE,2,0,True,complete,every state the register records is entered by at least one named route point,C
